Year,Share.with.medical.debt.in.collections,Share.with.medical.debt.in.collections...Majority.White,Hospital.market.concentration..HHI.,Number.of.Closures.and.Mergers,Share.of.the.population.with.no.health.insurance.coverage,Share.of.non.elderly.adults.with.a.reported.disability,Average.household.income.in..2023,FIPS
2011,0.209,0.153,798,0,NA,NA,89957,01073
2012,0.2,0.15,909,0,0.131,0.124,87624,01073
2013,0.206,0.159,993,1,0.128,0.126,86678,01073
2014,0.216,0.164,1049,0,0.125,0.131,85275,01073
2015,0.214,0.16,1056,0,0.118,0.135,85877,01073
2016,0.212,0.152,1034,0,0.109,0.136,87388,01073
2017,0.207,0.157,1087,0,0.103,0.14,89476,01073
2018,0.213,0.147,1119,0,0.095,0.138,91348,01073
2019,0.204,0.145,1129,0,0.092,0.136,93931,01073
2020,0.208,0.149,1184,1,0.09,0.13,95654,01073
2021,0.204,0.141,1213,0,0.091,0.13,96474,01073
2022,0.168,0.115,1198,0,0.09,0.125,97604,01073
2023,0.074,0.048,NA,NA,NA,NA,NA,01073
2011,0.283,0.283,6682,0,NA,NA,66953,01075
2012,0.305,0.305,7233,0,0.127,0.19,66729,01075
2013,0.292,0.292,6970,0,0.133,0.182,58633,01075
2014,0.305,0.305,6901,0,0.125,0.19,58033,01075
2015,0.301,0.301,6832,0,0.133,0.191,61071,01075
2016,0.27,0.27,6936,0,0.127,0.187,59921,01075
2017,0.279,0.279,6452,0,0.106,0.188,62467,01075
2018,0.237,0.237,6481,0,0.094,0.203,62273,01075
2019,0.243,0.243,7139,0,0.106,0.195,64660,01075
2020,0.225,0.225,7182,0,0.056,0.219,62965,01075
2021,0.195,0.195,6348,0,0.071,0.236,62219,01075
2022,0.119,0.119,6053,0,0.078,0.199,64991,01075
2023,0.046,0.046,NA,NA,NA,NA,NA,01075
2011,0.13,0.13,800,0,NA,NA,72011,01077
2012,0.149,0.149,912,0,0.13,0.151,71208,01077
2013,0.173,0.173,996,0,0.123,0.142,72163,01077
2014,0.198,0.198,1053,0,0.12,0.132,71902,01077
2015,0.203,0.203,1060,0,0.113,0.134,73047,01077
2016,0.227,0.227,1037,0,0.11,0.131,74476,01077
2017,0.189,0.189,1091,0,0.103,0.125,75128,01077
2018,0.214,0.214,1123,0,0.091,0.114,77817,01077
2019,0.197,0.197,1133,0,0.09,0.116,78379,01077
2020,0.181,0.181,1188,0,0.09,0.107,78570,01077
2021,0.174,0.174,1218,0,0.098,0.108,78363,01077
2022,0.137,0.137,1203,0,0.095,0.117,79778,01077
2023,0.047,0.047,NA,NA,NA,NA,NA,01077
2011,0.282,0.278,1106,0,NA,NA,66508,01079
2012,0.298,0.289,1452,0,0.138,0.184,66679,01079
2013,0.308,0.297,1529,0,0.15,0.199,64979,01079
2014,0.316,0.307,1633,0,0.128,0.19,67360,01079
2015,0.295,0.287,1637,0,0.114,0.197,67113,01079
2016,0.315,0.308,1607,0,0.11,0.192,68527,01079
2017,0.315,0.312,1652,0,0.097,0.183,68865,01079
2018,0.322,0.315,1681,0,0.082,0.185,71100,01079
2019,0.265,0.259,1697,0,0.091,0.189,69502,01079
2020,0.27,0.266,1787,0,0.092,0.217,72512,01079
2021,0.269,0.263,1755,0,0.092,0.189,75156,01079
2022,0.21,0.21,1754,0,0.091,0.2,75950,01079
2023,0.08,0.08,NA,NA,NA,NA,NA,01079
2011,0.233,0.234,1487,0,NA,NA,77184,01081
2012,0.226,0.227,1552,0,0.127,0.11,76710,01081
2013,0.238,0.239,1627,0,0.128,0.102,77304,01081
2014,0.15,0.15,1678,0,0.113,0.103,78227,01081
2015,0.142,0.142,1677,0,0.105,0.103,79595,01081
2016,0.116,0.116,1645,0,0.095,0.11,80565,01081
2017,0.105,0.105,1427,0,0.087,0.106,82922,01081
2018,0.109,0.109,1663,0,0.079,0.115,83796,01081
2019,0.115,0.115,1683,0,0.078,0.112,85272,01081
2020,0.108,0.108,1817,0,0.078,0.117,88144,01081
2021,0.094,0.094,1951,0,0.081,0.113,88943,01081
2022,0.072,0.072,1955,0,0.086,0.115,88206,01081
2023,0.024,0.024,NA,NA,NA,NA,NA,01081
2011,0.194,0.195,3032,0,NA,NA,85127,01083
2012,0.217,0.217,4848,0,0.127,0.116,86472,01083
2013,0.243,0.242,4881,0,0.132,0.112,85351,01083
2014,0.274,0.271,5281,0,0.13,0.119,86775,01083
2015,0.286,0.286,5265,0,0.126,0.124,87052,01083
2016,0.238,0.239,5190,0,0.125,0.14,87418,01083
2017,0.221,0.217,5180,0,0.112,0.134,87485,01083
2018,0.22,0.215,5197,1,0.096,0.147,90153,01083
2019,0.188,0.186,5250,0,0.096,0.138,92099,01083
2020,0.201,0.199,5553,0,0.086,0.144,93604,01083
2021,0.199,0.194,5140,0,0.081,0.124,99188,01083
2022,0.167,0.165,5227,0,0.082,0.13,103403,01083
2023,0.066,0.065,NA,NA,NA,NA,NA,01083
2011,0.394,0.236,3178,0,NA,NA,62622,01085
2012,0.392,NA,2935,0,0.133,0.216,61058,01085
2013,0.337,0.16,3185,0,0.164,0.213,60101,01085
2014,0.173,NA,3190,0,0.157,0.213,56232,01085
2015,0.139,NA,3000,0,0.136,0.199,58395,01085
2016,0.162,NA,3466,0,0.127,0.227,56770,01085
2017,0.234,0.189,3397,0,0.123,0.224,55920,01085
2018,0.258,NA,3465,0,0.092,0.246,57475,01085
2019,0.212,NA,3475,0,0.088,0.273,56182,01085
2020,0.185,0.146,3597,0,0.083,0.271,58496,01085
2021,0.237,0.189,3351,0,0.092,0.254,59170,01085
2022,0.215,0.127,3252,0,0.089,0.205,57834,01085
2023,0.078,0.073,NA,NA,NA,NA,NA,01085
2011,0.363,0.324,1277,0,NA,NA,57012,01087
2012,0.355,0.344,1317,0,0.131,0.201,53619,01087
2013,0.351,0.297,1434,0,0.141,0.183,54692,01087
2014,0.128,0.141,1480,0,0.138,0.166,54058,01087
2015,0.112,0.098,1449,0,0.124,0.159,53776,01087
2016,0.107,0.098,1520,0,0.108,0.145,56461,01087
2017,0.11,0.063,1543,0,0.101,0.134,59132,01087
2018,0.143,0.033,1587,0,0.081,0.141,59096,01087
2019,0.134,0.063,1597,0,0.075,0.153,59700,01087
2020,0.154,0.085,1667,0,0.09,0.146,63296,01087
2021,0.117,0.091,1646,0,0.097,0.16,63816,01087
2022,0.119,0.088,1616,0,0.111,0.157,59699,01087
2023,0.042,0.022,NA,NA,NA,NA,NA,01087
2011,0.16,0.133,3044,0,NA,NA,103413,01089
2012,0.177,0.145,4870,0,0.124,0.104,103277,01089
2013,0.207,0.165,4903,0,0.125,0.102,103989,01089
2014,0.212,0.171,5305,0,0.122,0.104,102758,01089
2015,0.225,0.184,5290,0,0.119,0.105,101617,01089
2016,0.229,0.184,5214,0,0.103,0.104,103340,01089
2017,0.231,0.188,5204,0,0.097,0.104,103532,01089
2018,0.232,0.187,5220,0,0.089,0.105,104296,01089
2019,0.209,0.164,5273,0,0.083,0.106,105229,01089
2020,0.199,0.155,5577,0,0.081,0.103,107078,01089
2021,0.195,0.154,5161,0,0.081,0.107,108351,01089
2022,0.163,0.13,5249,0,0.078,0.114,111565,01089
2023,0.059,0.046,NA,NA,NA,NA,NA,01089
2011,0.226,0.225,1078,0,NA,NA,64243,01091
2012,0.221,0.212,1105,0,0.121,0.231,64583,01091
2013,0.219,0.186,1175,0,0.125,0.237,69314,01091
2014,0.178,0.176,1261,0,0.121,0.217,68713,01091
2015,0.192,0.167,1265,0,0.12,0.224,64711,01091
2016,0.193,0.188,1268,0,0.122,0.223,58596,01091
2017,0.206,0.172,1303,0,0.107,0.216,63160,01091
2018,0.151,0.151,1320,0,0.096,0.228,61819,01091
2019,0.14,0.122,1318,0,0.088,0.224,65022,01091
2020,0.169,0.153,1374,0,0.085,0.229,68107,01091
2021,0.159,0.175,1374,0,0.103,0.224,66949,01091
2022,0.123,0.117,1345,0,0.093,0.222,68180,01091
2023,0.042,0.029,NA,NA,NA,NA,NA,01091
2011,0.268,0.268,2021,0,NA,NA,58860,01093
2012,0.244,0.244,2166,0,0.127,0.209,58754,01093
2013,0.264,0.264,2110,0,0.124,0.219,60918,01093
2014,0.255,0.255,2117,0,0.12,0.231,62304,01093
2015,0.289,0.289,2227,0,0.118,0.231,61265,01093
2016,0.281,0.281,2118,0,0.096,0.223,63233,01093
2017,0.284,0.284,2168,0,0.096,0.232,63879,01093
2018,0.276,0.276,2475,0,0.105,0.233,61081,01093
2019,0.242,0.242,2547,0,0.087,0.236,60029,01093
2020,0.263,0.263,2542,0,0.103,0.245,63403,01093
2021,0.249,0.249,2454,0,0.116,0.253,63803,01093
2022,0.146,0.146,2396,0,0.11,0.24,64957,01093
2023,0.041,0.041,NA,NA,NA,NA,NA,01093
2011,0.175,0.175,1859,0,NA,NA,71853,01095
2012,0.182,0.182,2781,0,0.176,0.147,70516,01095
2013,0.23,0.23,2840,1,0.177,0.149,69795,01095
2014,0.154,0.154,3060,0,0.177,0.153,70929,01095
2015,0.158,0.158,3057,0,0.169,0.155,71959,01095
2016,0.148,0.148,3009,0,0.154,0.149,71855,01095
2017,0.146,0.146,3033,0,0.154,0.146,73391,01095
2018,0.157,0.157,3057,0,0.131,0.14,74747,01095
2019,0.188,0.188,3087,0,0.123,0.133,76080,01095
2020,0.204,0.204,3260,0,0.121,0.121,80414,01095
2021,0.223,0.223,3079,0,0.119,0.128,81148,01095
2022,0.179,0.179,3113,0,0.111,0.125,80690,01095
2023,0.083,0.083,NA,NA,NA,NA,NA,01095
2011,0.186,0.179,2077,0,NA,NA,77201,01097
2012,0.195,0.183,1783,1,0.161,0.144,76366,01097
2013,0.205,0.19,1800,0,0.159,0.146,75383,01097
2014,0.091,0.085,2004,0,0.153,0.138,75997,01097
2015,0.119,0.107,1994,0,0.142,0.137,75569,01097
2016,0.139,0.121,2091,0,0.132,0.137,75745,01097
2017,0.156,0.129,2063,0,0.121,0.127,77285,01097
2018,0.182,0.15,2027,0,0.116,0.121,77378,01097
2019,0.198,0.163,1971,0,0.112,0.122,77408,01097
2020,0.202,0.17,2033,0,0.112,0.117,79047,01097
2021,0.169,0.14,1935,0,0.114,0.114,78552,01097
2022,0.138,0.115,1846,0,0.113,0.118,78642,01097
2023,0.08,0.066,NA,NA,NA,NA,NA,01097
2011,0.222,0.279,2075,0,NA,NA,57776,01099
2012,0.154,0.188,1787,0,0.162,0.174,55980,01099
2013,0.146,0.16,1807,0,0.166,0.16,52602,01099
2014,0.198,0.181,2006,0,0.169,0.143,53111,01099
2015,0.208,0.178,1995,0,0.169,0.129,50698,01099
2016,0.175,0.165,2093,0,0.164,0.111,51565,01099
2017,0.178,0.173,2065,0,0.15,0.136,51994,01099
2018,0.197,0.209,2030,0,0.134,0.125,55652,01099
2019,0.247,0.21,1976,0,0.114,0.129,57994,01099
2020,0.25,0.248,2038,0,0.122,0.148,61334,01099
2021,0.229,0.189,1941,0,0.124,0.167,60571,01099
2022,0.187,0.155,1854,0,0.11,0.145,59854,01099
2023,0.109,0.093,NA,NA,NA,NA,NA,01099
2011,0.309,0.209,3401,0,NA,NA,84858,01101
2012,0.314,0.23,3126,0,0.133,0.144,82145,01101
2013,0.331,0.228,3391,0,0.132,0.147,81641,01101
2014,0.144,0.09,3391,0,0.134,0.144,80531,01101
2015,0.148,0.096,3183,0,0.129,0.15,79964,01101
2016,0.126,0.072,3694,0,0.121,0.149,81057,01101
2017,0.201,0.12,3614,0,0.111,0.146,81078,01101
2018,0.228,0.146,3685,0,0.105,0.145,82885,01101
2019,0.207,0.123,3695,0,0.1,0.143,84591,01101
2020,0.196,0.114,3824,0,0.101,0.149,84793,01101
2021,0.195,0.124,3552,0,0.104,0.151,83125,01101
2022,0.169,0.111,3445,0,0.106,0.149,83254,01101
2023,0.059,0.036,NA,NA,NA,NA,NA,01101
2011,0.218,0.218,2270,0,NA,NA,80486,01103
2012,0.227,0.227,3505,1,0.159,0.137,79691,01103
2013,0.238,0.238,3556,0,0.159,0.131,78231,01103
2014,0.258,0.258,3838,0,0.158,0.137,78019,01103
2015,0.27,0.27,3831,1,0.147,0.14,78112,01103
2016,0.272,0.272,3773,0,0.126,0.142,76793,01103
2017,0.231,0.231,3785,0,0.112,0.145,77519,01103
2018,0.255,0.255,3806,0,0.102,0.138,78956,01103
2019,0.236,0.236,3845,0,0.096,0.14,81424,01103
2020,0.238,0.238,4063,0,0.102,0.146,83395,01103
2021,0.247,0.247,3801,0,0.108,0.147,85565,01103
2022,0.211,0.211,3853,0,0.11,0.151,86000,01103
2023,0.088,0.088,NA,NA,NA,NA,NA,01103
2011,0.29,NA,1147,0,NA,NA,51953,01105
2012,0.286,NA,1285,0,0.161,0.289,53454,01105
2013,0.301,NA,1350,0,0.153,0.29,49017,01105
2014,0.219,NA,1400,0,0.164,0.285,46893,01105
2015,0.267,NA,1400,0,0.144,0.264,49873,01105
2016,0.248,NA,1387,0,0.154,0.267,47745,01105
2017,0.314,NA,1406,0,0.142,0.226,42833,01105
2018,0.336,NA,1430,0,0.127,0.239,40869,01105
2019,0.345,NA,1481,0,0.093,0.195,42690,01105
2020,0.35,NA,1536,0,0.099,0.224,41378,01105
2021,0.226,NA,1513,0,0.092,0.193,43883,01105
2022,0.181,NA,1481,0,0.066,0.236,42923,01105
2023,0.068,NA,NA,NA,NA,NA,NA,01105
2011,0.312,0.269,7399,0,NA,NA,53702,01107
2012,0.332,0.268,8026,0,0.127,0.228,53406,01107
2013,0.338,0.265,7743,0,0.119,0.233,52599,01107
2014,0.333,0.275,7665,0,0.136,0.228,53128,01107
2015,0.338,0.296,7549,0,0.13,0.228,55201,01107
2016,0.312,0.257,7708,0,0.111,0.236,58472,01107
2017,0.306,0.283,7120,0,0.089,0.23,61311,01107
2018,0.315,0.275,7054,0,0.085,0.202,66257,01107
2019,0.281,0.253,7812,0,0.091,0.214,67184,01107
2020,0.272,0.243,7876,1,0.094,0.229,68961,01107
2021,0.201,0.172,6911,0,0.091,0.234,68197,01107
2022,0.16,0.14,6583,0,0.085,0.218,69007,01107
2023,0.06,0.044,NA,NA,NA,NA,NA,01107
2011,0.292,0.292,3396,0,NA,NA,62920,01109
2012,0.292,0.292,3123,0,0.122,0.114,62190,01109
2013,0.277,0.277,3386,0,0.116,0.104,63585,01109
2014,0.148,0.148,3386,0,0.114,0.106,62535,01109
2015,0.162,0.162,3179,0,0.107,0.116,62424,01109
2016,0.121,0.121,3688,0,0.106,0.13,63219,01109
2017,0.146,0.146,3608,0,0.088,0.137,65168,01109
2018,0.097,0.097,3679,0,0.096,0.15,65759,01109
2019,0.131,0.131,3688,0,0.097,0.133,68933,01109
2020,0.174,0.174,3817,0,0.089,0.126,72156,01109
2021,0.197,0.197,3546,0,0.088,0.114,73321,01109
2022,0.176,0.176,3440,0,0.089,0.111,70642,01109
2023,0.131,0.131,NA,NA,NA,NA,NA,01109
2011,0.206,0.207,792,0,NA,NA,69140,01111
2012,0.23,0.231,898,1,0.163,0.183,65554,01111
2013,0.24,0.238,980,0,0.164,0.161,64529,01111
2014,0.18,0.18,1035,0,0.149,0.14,59511,01111
2015,0.216,0.216,1052,0,0.143,0.137,60223,01111
2016,0.161,0.161,1031,0,0.119,0.127,60639,01111
2017,0.122,0.122,1092,0,0.123,0.113,63148,01111
2018,0.153,0.153,1122,0,0.105,0.113,68119,01111
2019,0.186,0.186,1136,0,0.091,0.144,70123,01111
2020,0.247,0.247,1194,0,0.093,0.139,70363,01111
2021,0.214,0.214,1222,0,0.096,0.148,71766,01111
2022,0.195,0.195,1209,0,0.084,0.152,70530,01111
2023,0.079,0.079,NA,NA,NA,NA,NA,01111
2011,0.339,0.313,4349,0,NA,NA,59807,01113
2012,0.311,0.305,4226,0,0.17,0.215,60488,01113
2013,0.318,0.314,4264,0,0.168,0.194,63847,01113
2014,0.327,0.326,4290,0,0.172,0.175,63319,01113
2015,0.319,0.302,4256,0,0.163,0.171,63952,01113
2016,0.276,0.255,4183,0,0.152,0.16,65812,01113
2017,0.27,0.246,2842,0,0.138,0.16,65311,01113
2018,0.305,0.288,3924,0,0.134,0.178,65218,01113
2019,0.308,0.312,3988,0,0.115,0.182,66662,01113
2020,0.261,0.278,4450,0,0.108,0.194,67578,01113
2021,0.258,0.248,5012,0,0.106,0.204,66774,01113
2022,0.22,0.219,5093,0,0.117,0.211,65011,01113
2023,0.11,0.102,NA,NA,NA,NA,NA,01113
2011,0.224,0.224,797,0,NA,NA,82092,01115
2012,0.216,0.216,907,0,0.13,0.145,80609,01115
2013,0.232,0.231,991,0,0.121,0.157,81632,01115
2014,0.239,0.239,1047,0,0.112,0.16,80272,01115
2015,0.224,0.224,1055,0,0.106,0.161,80690,01115
2016,0.214,0.214,1032,0,0.09,0.152,82111,01115
2017,0.197,0.197,1086,0,0.079,0.152,80240,01115
2018,0.202,0.202,1117,0,0.088,0.141,79790,01115
2019,0.188,0.188,1127,0,0.085,0.14,83818,01115
2020,0.163,0.163,1182,0,0.082,0.126,86868,01115
2021,0.164,0.164,1212,0,0.082,0.138,88375,01115
2022,0.136,0.136,1197,0,0.082,0.139,91897,01115
2023,0.056,0.056,NA,NA,NA,NA,NA,01115
2011,0.158,0.158,797,0,NA,NA,120391,01117
2012,0.167,0.167,907,0,0.093,0.094,117469,01117
2013,0.173,0.173,991,0,0.094,0.098,113787,01117
2014,0.167,0.167,1047,0,0.096,0.096,111616,01117
2015,0.17,0.17,1055,0,0.089,0.092,112898,01117
2016,0.168,0.168,1032,0,0.082,0.095,113965,01117
2017,0.147,0.147,1086,0,0.074,0.088,115631,01117
2018,0.149,0.148,1117,0,0.068,0.09,116290,01117
2019,0.145,0.145,1127,0,0.062,0.091,119496,01117
2020,0.142,0.142,1182,0,0.061,0.097,121313,01117
2021,0.146,0.145,1212,0,0.065,0.094,122843,01117
2022,0.12,0.12,1197,0,0.064,0.094,122926,01117
2023,0.055,0.055,NA,NA,NA,NA,NA,01117
2011,0.307,NA,3427,0,NA,NA,45915,01119
2012,0.322,NA,3928,0,0.159,0.254,45928,01119
2013,0.321,NA,3698,0,0.166,0.22,45849,01119
2014,0.294,NA,3584,0,0.176,0.194,45038,01119
2015,0.294,NA,3770,0,0.192,0.192,40933,01119
2016,0.205,NA,4051,0,0.182,0.187,42557,01119
2017,0.226,NA,3717,0,0.169,0.202,42866,01119
2018,0.159,NA,3856,0,0.155,0.193,46263,01119
2019,0.144,NA,3742,0,0.125,0.195,46455,01119
2020,0.185,NA,3934,0,0.114,0.18,47661,01119
2021,0.171,NA,3133,0,0.11,0.206,48807,01119
2022,0.147,NA,3673,0,0.097,0.197,51144,01119
2023,0.054,NA,NA,NA,NA,NA,NA,01119
2011,0.305,0.305,797,0,NA,NA,63981,01121
2012,0.296,0.296,907,0,0.143,0.198,62026,01121
2013,0.305,0.305,991,0,0.14,0.192,63746,01121
2014,0.344,0.344,1047,0,0.136,0.185,61524,01121
2015,0.348,0.349,1055,0,0.127,0.183,62533,01121
2016,0.36,0.36,1032,0,0.111,0.181,64342,01121
2017,0.273,0.273,1086,0,0.102,0.175,65625,01121
2018,0.327,0.327,1117,0,0.093,0.181,66616,01121
2019,0.324,0.324,1127,0,0.093,0.188,68255,01121
2020,0.313,0.313,1182,0,0.092,0.188,69532,01121
2021,0.299,0.299,1212,0,0.098,0.197,68746,01121
2022,0.254,0.254,1197,0,0.094,0.194,73789,01121
2023,0.115,0.115,NA,NA,NA,NA,NA,01121
2011,0.246,0.241,1162,0,NA,NA,76146,01123
2012,0.269,0.272,1218,0,0.14,0.186,70040,01123
2013,0.276,0.274,1328,0,0.142,0.168,68531,01123
2014,0.184,0.186,1376,0,0.132,0.159,65359,01123
2015,0.127,0.129,1353,0,0.119,0.156,66338,01123
2016,0.169,0.174,1405,0,0.107,0.158,65699,01123
2017,0.194,0.2,1440,0,0.094,0.152,67698,01123
2018,0.181,0.191,1477,0,0.081,0.165,69012,01123
2019,0.161,0.164,1487,0,0.082,0.18,72385,01123
2020,0.15,0.156,1553,0,0.085,0.178,71262,01123
2021,0.129,0.133,1540,0,0.091,0.186,72934,01123
2022,0.078,0.079,1512,0,0.095,0.182,74296,01123
2023,0.039,0.04,NA,NA,NA,NA,NA,01123
2011,0.27,0.243,7229,0,NA,NA,79965,01125
2012,0.282,0.247,7849,0,0.121,0.109,79297,01125
2013,0.286,0.251,7587,0,0.123,0.106,79757,01125
2014,0.294,0.263,7516,0,0.119,0.099,80592,01125
2015,0.294,0.26,7384,0,0.103,0.1,80259,01125
2016,0.283,0.241,7554,0,0.097,0.104,81756,01125
2017,0.289,0.24,6968,0,0.086,0.102,83107,01125
2018,0.26,0.213,6863,0,0.075,0.105,84307,01125
2019,0.239,0.194,7616,0,0.072,0.11,85250,01125
2020,0.217,0.186,7686,0,0.07,0.113,84736,01125
2021,0.173,0.141,6742,0,0.07,0.108,85236,01125
2022,0.095,0.091,6414,0,0.067,0.105,85941,01125
2023,0.036,0.039,NA,NA,NA,NA,NA,01125
2011,0.235,0.235,816,0,NA,NA,70151,01127
2012,0.237,0.237,928,0,0.149,0.232,67798,01127
2013,0.261,0.261,1011,0,0.151,0.239,66758,01127
2014,0.279,0.279,1067,0,0.145,0.241,65515,01127
2015,0.294,0.294,1074,0,0.135,0.241,64093,01127
2016,0.292,0.292,1052,0,0.126,0.238,64797,01127
2017,0.201,0.201,1104,0,0.116,0.236,65630,01127
2018,0.251,0.251,1135,0,0.11,0.216,69118,01127
2019,0.256,0.256,1147,0,0.118,0.224,70508,01127
2020,0.236,0.236,1202,0,0.114,0.214,71718,01127
2021,0.252,0.252,1228,0,0.12,0.222,70974,01127
2022,0.216,0.216,1213,0,0.121,0.208,71148,01127
2023,0.099,0.099,NA,NA,NA,NA,NA,01127
2011,0.156,0.169,2118,0,NA,NA,69540,01129
2012,0.184,0.172,1837,0,0.167,0.203,71183,01129
2013,0.19,0.176,1847,0,0.185,0.194,69073,01129
2014,0.126,0.13,2046,0,0.171,0.207,70689,01129
2015,0.149,0.153,2042,0,0.155,0.223,66562,01129
2016,0.157,0.137,2142,0,0.137,0.228,64064,01129
2017,0.165,0.144,2111,0,0.095,0.228,68547,01129
2018,0.188,0.167,2078,0,0.096,0.221,66102,01129
2019,0.16,0.138,2019,0,0.094,0.195,72093,01129
2020,0.172,0.154,2081,0,0.095,0.147,80932,01129
2021,0.155,0.14,1971,0,0.113,0.128,81168,01129
2022,0.116,0.098,1896,0,0.092,0.124,79995,01129
2023,0.076,0.07,NA,NA,NA,NA,NA,01129
2011,0.214,NA,1167,0,NA,NA,49584,01131
2012,0.275,NA,1162,0,0.173,0.148,48513,01131
2013,0.249,NA,1227,0,0.188,0.163,46518,01131
2014,0.223,NA,1325,0,0.186,0.149,47991,01131
2015,0.219,NA,1327,0,0.164,0.173,47469,01131
2016,0.249,NA,1340,0,0.152,0.167,47780,01131
2017,0.219,NA,1370,0,0.149,0.162,49638,01131
2018,0.197,NA,1383,0,0.116,0.168,50973,01131
2019,0.179,NA,1374,0,0.109,0.194,50653,01131
2020,0.204,NA,1431,0,0.101,0.176,56436,01131
2021,0.118,NA,1423,0,0.103,0.183,55834,01131
2022,0.093,NA,1387,0,0.094,0.196,52602,01131
2023,0.042,NA,NA,NA,NA,NA,NA,01131
2011,0.233,0.233,797,0,NA,NA,61112,01133
2012,0.243,0.243,907,0,0.175,0.228,61705,01133
2013,0.261,0.261,991,0,0.145,0.223,60288,01133
2014,0.296,0.296,1047,0,0.144,0.241,59118,01133
2015,0.315,0.315,1055,0,0.134,0.249,57874,01133
2016,0.279,0.279,1032,0,0.129,0.247,57740,01133
2017,0.284,0.284,1086,0,0.117,0.259,60658,01133
2018,0.289,0.289,1117,0,0.123,0.237,62649,01133
2019,0.29,0.29,1127,0,0.123,0.228,63366,01133
2020,0.287,0.287,1182,0,0.12,0.206,63900,01133
2021,0.256,0.256,1212,0,0.113,0.213,69427,01133
2022,0.174,0.174,1197,0,0.113,0.192,68927,01133
2023,0.07,0.07,NA,NA,NA,NA,NA,01133
2011,NA,NA,1238,0,NA,NA,91114,02013
2012,NA,NA,1249,0,0.662,0.053,94832,02013
2013,NA,NA,1341,0,0.656,0.056,99100,02013
2014,NA,NA,1221,0,0.609,0.051,89410,02013
2015,NA,NA,1287,0,0.563,0.062,91573,02013
2016,NA,NA,1256,0,0.52,0.061,97042,02013
2017,NA,NA,1156,0,0.482,0.058,97154,02013
2018,NA,NA,1344,0,0.456,0.055,98980,02013
2019,NA,NA,1284,0,0.463,0.055,94793,02013
2020,NA,NA,1472,0,0.397,0.057,100437,02013
2021,NA,NA,1489,0,0.4,0.057,96533,02013
2022,NA,NA,1449,0,0.397,0.058,91944,02013
2023,NA,NA,NA,NA,NA,NA,NA,02013
2011,NA,NA,1238,0,NA,NA,112065,02016
2012,NA,NA,1249,0,0.28,0.072,115117,02016
2013,NA,NA,1341,0,0.29,0.06,120203,02016
2014,0.192,NA,1221,0,0.258,0.055,120847,02016
2015,0.182,NA,1287,0,0.242,0.066,122030,02016
2016,NA,NA,1256,0,0.213,0.074,123433,02016
2017,NA,NA,1156,0,0.212,0.066,126225,02016
2018,NA,NA,1344,0,0.188,0.063,123090,02016
2019,NA,NA,1284,0,0.175,0.063,121524,02016
2020,0.132,NA,1472,0,0.172,0.057,122474,02016
2021,0.193,NA,1489,0,0.196,0.052,121785,02016
2022,0.082,NA,1449,0,0.172,0.054,122128,02016
2023,0.074,NA,NA,NA,NA,NA,NA,02016
2011,0.185,0.165,1238,0,NA,NA,127430,02020
2012,0.18,0.163,1249,0,0.164,0.103,126916,02020
2013,0.182,0.165,1341,0,0.166,0.097,126788,02020
2014,0.186,0.167,1221,0,0.163,0.093,126544,02020
2015,0.186,0.165,1287,0,0.155,0.093,128081,02020
2016,0.179,0.161,1256,0,0.145,0.097,130129,02020
2017,0.185,0.166,1156,0,0.132,0.098,130535,02020
2018,0.171,0.157,1344,0,0.122,0.101,129643,02020
2019,0.17,0.153,1284,0,0.112,0.103,131088,02020
2020,0.164,0.146,1472,0,0.106,0.1,127612,02020
2021,0.155,0.139,1489,0,0.105,0.1,128049,02020
2022,0.036,0.033,1449,0,0.105,0.1,127055,02020
2023,0.037,0.034,NA,NA,NA,NA,NA,02020
2011,0.118,NA,1238,0,NA,NA,94452,02050
2012,0.137,NA,1249,0,0.261,0.1,95727,02050
2013,0.168,NA,1341,0,0.268,0.096,90593,02050
2014,0.171,NA,1221,0,0.259,0.091,89422,02050
2015,0.165,NA,1287,0,0.256,0.089,84473,02050
2016,0.148,NA,1256,0,0.251,0.093,84525,02050
2017,0.146,NA,1156,0,0.234,0.095,84314,02050
2018,0.145,NA,1344,0,0.207,0.101,85346,02050
2019,0.095,NA,1284,0,0.203,0.102,84387,02050
2020,0.07,NA,1472,0,0.174,0.115,85939,02050
2021,0.082,NA,1489,0,0.151,0.116,88096,02050
2022,0.055,NA,1449,0,0.14,0.114,88798,02050
2023,0.022,NA,NA,NA,NA,NA,NA,02050
2011,NA,NA,1238,0,NA,NA,123957,02060
2012,NA,NA,1249,0,0.225,0.104,123969,02060
2013,NA,NA,1341,0,0.223,0.096,120803,02060
2014,NA,NA,1221,0,0.226,0.116,119829,02060
2015,NA,NA,1287,0,0.199,0.109,112969,02060
2016,NA,NA,1256,0,0.204,0.108,121165,02060
2017,NA,NA,1156,0,0.201,0.111,115819,02060
2018,NA,NA,1344,0,0.198,0.119,120767,02060
2019,NA,NA,1284,0,0.205,0.116,114454,02060
2020,NA,NA,1472,0,0.161,0.137,113100,02060
2021,NA,NA,1489,0,0.17,0.111,111399,02060
2022,NA,NA,1449,0,0.191,0.102,121282,02060
2023,NA,NA,NA,NA,NA,NA,NA,02060
2011,0.19,0.19,1238,0,NA,NA,NA,02063
2012,0.241,0.241,1249,0,NA,NA,NA,02063
2013,0.217,0.217,1341,0,NA,NA,NA,02063
